index,open,high,low,close,volume
2020-12-08 11:14:00,322.5050,322.6620,322.4250,322.5670,3596
2020-12-08 11:13:00,322.5810,322.7090,322.4270,322.5650,2540
2020-12-08 11:12:00,322.5320,322.6770,322.4650,322.6190,200
2020-12-08 11:11:00,322.4860,322.6530,322.4000,322.5950,1176
2020-12-08 11:10:00,322.4630,322.6430,322.3960,322.5860,1244
2020-12-08 11:09:00,322.5150,322.6430,322.4100,322.5820,308
2020-12-08 11:08:00,322.4960,322.6320,322.4100,322.5480,652
2020-12-08 11:07:00,322.5310,322.6590,322.4000,322.5950,5922
2020-12-08 11:06:00,322.5670,322.7550,322.4580,322.6050,3096
2020-12-08 11:05:00,322.6100,322.7570,322.5060,322.6900,3330
2020-12-08 11:04:00,322.5200,322.6480,322.4240,322.5760,3142
2020-12-08 11:03:00,322.4940,322.6220,322.4100,322.5480,973
2020-12-08 11:02:00,322.5260,322.6550,322.4390,322.5760,1550
2020-12-08 11:01:00,322.5620,322.7770,322.4960,322.6900,1323
2020-12-08 11:00:00,322.4390,322.6340,322.3610,322.5000,3940
2020-12-08 10:59:00,322.3720,322.5290,322.2820,322.4430,1129
2020-12-08 10:58:00,322.3820,322.5200,322.2770,322.4620,4225
2020-12-08 10:57:00,322.2470,322.4820,322.1730,322.4240,2709
2020-12-08 10:56:00,322.3340,322.4630,322.1710,322.3080,3111
2020-12-08 10:55:00,322.2150,322.4720,322.1450,322.4080,2457
2020-12-08 10:54:00,322.1540,322.3340,322.0870,322.2770,1047
2020-12-08 10:53:00,322.1300,322.2880,322.0630,322.2310,1507
2020-12-08 10:52:00,322.1820,322.3100,322.0870,322.2240,515
2020-12-08 10:51:00,322.1490,322.4150,322.0820,322.3580,613
2020-12-08 10:50:00,322.1540,322.2890,322.0300,322.1670,892
2020-12-08 10:49:00,322.1160,322.3100,322.0490,322.2530,1250
2020-12-08 10:48:00,322.1820,322.3100,322.0730,322.2100,1438
2020-12-08 10:47:00,322.0590,322.2820,321.9920,322.2150,2814
2020-12-08 10:46:00,322.0060,322.2010,321.9390,322.1290,820
2020-12-08 10:45:00,322.0510,322.1870,321.9540,322.0910,4266
2020-12-08 10:44:00,322.0110,322.1770,321.9350,322.1200,873
2020-12-08 10:43:00,322.0210,322.1490,321.8940,322.0630,1309
2020-12-08 10:42:00,321.9710,322.1300,321.8790,322.0480,1176
2020-12-08 10:41:00,322.0400,322.1680,321.9390,322.0920,1152
2020-12-08 10:40:00,321.9730,322.1390,321.9060,322.0790,2662
2020-12-08 10:39:00,322.0030,322.1310,321.8780,322.0150,1130
2020-12-08 10:38:00,321.9920,322.1200,321.8490,322.0530,1125
2020-12-08 10:37:00,322.0090,322.1370,321.9160,322.0530,1300
2020-12-08 10:36:00,321.9350,322.0910,321.8540,322.0340,1153
2020-12-08 10:35:00,321.8470,322.0250,321.7810,321.9310,1970
2020-12-08 10:34:00,321.8920,322.0340,321.8250,321.9770,4350
2020-12-08 10:33:00,321.9490,322.0770,321.7620,321.9110,1417
2020-12-08 10:32:00,321.9540,322.0920,321.8680,322.0060,1905
2020-12-08 10:31:00,321.8400,322.0530,321.7730,321.9680,2665
2020-12-08 10:30:00,321.5640,321.9490,321.4970,321.8920,1145
2020-12-08 10:29:00,321.5540,321.7970,321.4740,321.6920,1307
2020-12-08 10:28:00,321.5360,321.6640,321.4400,321.5780,1100
2020-12-08 10:27:00,321.4520,321.6100,321.3570,321.5530,901
